author,title,date
Ypi,Free,2022-05-31T18:11:57+02:00
Beckett,En attandant Godot,
Borelli,Metodi di manipolazione,
Bratton,The Stack: On Software and Sovereignty,2022-04-27T14:45:04+02:00
Bückler,Non esistono piccole storie,
Calvino,Fame a Bevera,
Calvino,Il barone rampante,
Calvino,Il visconte dimezzato,
Carrère,Limonov,
"Cavallo, Favilli",Storie della buonanotte per bambine ribelli,
Chimamanda Ngozi Adichie,Dovremmo essere tutti femministi,
Danielewski,House of Leaves,
Ferlinghetti,Her,
Ferrante,L’amica Geniale,
Ferrante,L’amore molesto,
Freud,Compendio di Psicoanalisi,
García Márquez,Cent’anni di solitudine,
García Márquez,L’amore ai tempi del colera,
Gipi,Momenti Straordinari con Applausi Finti,
Graziani,Atlante delle micronazioni,2021-09-17T11:19:36+02:00
Henderson,The Book of Barely Imagined Beings: A 21st Century Bestiary,
Hugo,Delitto e castigo,
Hugo,Les misérables,
Ian Urbina,Outlaw Ocean,
Jullien,Essere o Vivere,
Kondo,Il magico potere del riordino,
"Lederman, Hill",Quantum Physics for Poets,
Lupton,The Quantified Self,
Martin,Clean Code,
Marzo Magno,"L’ inventore di libri. Aldo Manuzio, Venezia e il suo tempo",
Mercadini,La storia perfetta dell’errore,
Nabokov,Lolita,
Notarberardino,Fuori di Testo,
Orlean,The Orchid Thief,
Paulo Coelho,Il manoscritto ritrovato ad Accra,
Pontiggia,Dentro la sera,
Stinson,The Bro Code,
"Thatcher, Dalton",Data Power: Radical Geographies of Control and Resistance,2021-12-23T19:06:54+01:00
The Andre,Io è un altro,
Tolstoj,Guerra e pace,
Tolstoj,La Sonata Kreutzer,
Vogler,The Writer’s Journey: Mythic Structure for Writers,
Watts,Debugging Your Brain,2022-01-17T10:55:58+01:00
Watzlawick,Istruzioni per rendersi infelici,
Wilde,Only Dull People Are Brilliant at Breakfast,
Williams,Stoner,
Zedong,Quotations from Chairman Mao Tse-tung,2022-01-10T11:38:50+01:00
Zerocalcare,Dimentica il mio nome,
Bukowski,Scrivo poesie solo per portarmi a letto le ragazze,
"Hastings, Meyers",No Rules Rules,
Kaleb,Skin in the Game,2022-03-29T11:48:33+02:00
"Pendergrass, Vettese",Half-Earth Socialism,2022-04-26
Bridle,New Dark Age,2024-02-25T10:00:00+02:00
