date,word,lang,note,url
2008,appacioccarsi,it,"neologismo inventato dalla mia famiglia per indicare lo svaccarsi su un divano, fare le coccole e leggere libri o guardare film tutti insieme",!#
2008,uggioso,it,la condizione meteorologica perfetta per appacioccarsi,
2015,gorgeous,en,,
2017-06-16,meramente,it,,
2019-10-15,yield,en,,
2020-06-06,onanismo,it,,
2020-06-11,bécero,it,,
2020-06-13,perpetrare,it,,
2020-06-13,mero,it,,
2020-08-26,poltrona,it,,
2020-09-10,divagamento,it,,
2020-09-11,confuso,it,,
2020-09-18,esacerbante,it,,https://www.treccani.it/vocabolario/esacerbare
2020-09-24,efficace,it,,
2020-09-24,špicerica,hr,(“portamine” in croato),
2020-10-04,legàmi,it,,https://www.treccani.it/vocabolario/legame
2020-10-16,futuribile,it,,
2020-10-20,whimsical,en,,
2020-10-21,circonferenze,it,,https://www.treccani.it/vocabolario/circonferenza
2020-10-28,laconico,it,,
2020-10-30,weakening,en,,
2020-11-01,bitter,en,,
2020-11-01,debauchery,en,,
2020-11-01,perfectibility,en,,
2020-11-03,namely,en,,
2020-11-18,to entail,en,,
2020-12-01,merletto,it,,
2020-12-02,clumsy,en,,
2020-12-03,dedizione,it,,
2020-12-04,virtually,en,,
2020-12-12,entail,en,,
2020-12-19,stigmatizzante,en,,https://www.treccani.it/vocabolario/stigmatizzare
2021-01-24,oblivious,en,,
2021-01-27,esperimento,it,,
2021-02-03,tuttavia,it,,
2021-01-24,placeholder,en,,
2020-12-03,segnaposto,it,,
2021-02-15,bizzarro,it,,
2021-02-25,melomane,it,,
2021-03-10,foster,en,,
2021-03-10,pluralism,en,,
2021-03-11,grim,en,,
2021-05-15,Drunch,en,,https://tommi.space/drunch
2021-06-12,obsolete,en,,
2021-06-21T17:36:47+02:00,hollow,en,,
2021-07-03T10:44:51+02:00,drivel,en,,
2021-07-19T10:40:06+02:00,fantasmagorico,it,,
2021-07-18,heuristics,en,,
2021-09-23T18:24:48+02:00,painstaking,en,,
2021-09-28T10:30:23+02:00,wholesome,en,,
2021-10-03T20:23:01+02:00,leggiadria,it,,
2021-10-09T11:01:36+02:00,picky,en,,
2021-10-11T21:10:35+02:00,lure,en,,
2021-09-29T17:06:52+02:00,Zitelle,it,la migliore fermata del vaporetto in tutta la laguna veneta,https://europeforvisitors.com/venice/actv/giudecca-zitelle.htm
2021-10-15T09:45:17+02:00,placido,it,,
2021-11-15T08:37:29+01:00,etterath,en,,https://www.dictionaryofobscuresorrows.com/post/667859208298987520/etterath
2021-11-23T17:37:48+01:00,fetter,en,,
2021-11-23T17:37:59+01:00,framework,en,,
2021-12-02T12:19:50+01:00,unavoidable,en,,
2021-12-16T09:48:05+01:00,plunge,en,,
2021-12-21T14:40:07+01:00,simbiosi,it,,
2021-12-31T12:12:37+01:00,compelling,en,,
2022-01-26T12:17:56+01:00,corale,it,come il Comunismo di Bucharin: <q lang='en'>…society will be transformed into a huge working organization for cooperative production.</q>,
2022-03-22T10:56:43+01:00,asceticism,en,studying Modern Philosophy with Sabrina,
2022-03-25T11:25:31+01:00,naturale,it,,
2022-04-27T19:04:39+02:00,parentesi,it,grazie a Ludovica che me ne ha fatto rendere conto,
2022-06-02T10:10:53+02:00,mutuality,en,"while studying Political Philosophy 1: the concept of mutuality in Hart, then Rawls",
2022-06-02T12:31:54+02:00,πολιτεία,grc,politèia,
2022-06-03T16:48:24+02:00,ripple,en,while re-listening to [prof. Azzolini](https://unive.it/data/people/18972960 'Giulio Azzolini – Ca’ Foscari University of Venice'): <q>ripples of change spread through political institutions and conventional beliefs across the globe</q>,
2022-10-13T09:40:42+02:00,envoûtement,fr,"comme partie de <cite>[La Chanson des vieux amants](https://fr.wikipedia.org/wiki/La_Chanson_des_vieux_amants)</cite>, de Jacques Brel",
2022-11-04T16:20:08+01:00,ébauche,fr,"en lisant <cite>L’être et le néant</cite>II partie, chap. 1, I",
2022-11-09T10:19:38+01:00,claque,fr,en écuotant France info à la radio,
2022-12-01T20:21:43+01:00,banane,fr,pas l’une qu’on mange,
2022-12-01T20:22:25+01:00,tiède,fr,,
2023-03-02T15:27:15+01:00,autopoièsi,it,leggendo <cite>[La rete è libera e democratica (falso)](https://openlibrary.org/isbn/9788858111826)<cite> per la [tesi](/thesis),https://tommi.space/rete-democratica
2023-02-20T14:08:50+01:00,premare,it,"mentre io, Gloria e Giulia Valentina cercavamo il lungomare, a Trieste.",
2023-04-13T15:16:10+02:00,orbitale,it,una delle [parole di Sabrina](https://tommi.space/parole-sabrina 'Le parole di Sabrina’) per definire i suoi concetti astrusi.,
2023-08-04T00:25:43+02:00,spassoso,it,GiuRo,
2023-08-27T13:44:56+02:00,comprensione diretta,it,"dalle parole delle persone che hanno svolto il cantiere della Caritas Ambrosiana, passando per Scambi Festival 2023",
2024-01-14T16:57:00+01:00,fumble,en,from Alexi Murdoch’s <cite>[Wait](https://musicbrainz.org/recording/3af1813c-d0b2-47ea-b2d1-ca7e664d6bcf)</cite>,
